Time,ram_usage,cpu_utilization,network_bandwidth,io_bandwidth
23:43:20,77.3,8.5,1914.72,64055.91
23:43:21,77.3,9.4,1914.73,64055.93
23:43:23,77.3,13.6,1914.74,64056.02
23:43:24,77.3,17.4,1914.74,64056.07
23:43:25,77.3,3.8,1914.75,64056.08
23:43:26,77.3,9.4,1914.76,64056.09
23:43:27,77.3,12,1914.76,64056.12
23:43:28,77.3,14.9,1914.76,64056.16
23:43:29,77.3,6.5,1914.76,64056.35
23:43:30,77.3,13.2,1914.76,64056.37
23:43:31,77.3,5.3,1914.76,64056.39
23:43:32,77.3,47.6,1914.76,64056.52
23:43:33,77.3,4.6,1914.76,64056.69
23:43:34,77.3,47.5,1914.76,64056.76
23:43:35,77.3,47.2,1914.77,64056.93
23:43:36,77.3,6.8,1914.77,64057.05
23:43:37,77.3,47.9,1914.79,64057.16
23:43:38,77.3,11.7,1914.8,64057.54
23:43:39,77.3,9.4,1914.8,64057.54
23:43:40,77.3,22.6,1914.8,64057.61
23:43:41,77.3,8.4,1914.8,64057.64
23:43:42,77.2,5.8,1914.8,64057.78
23:43:43,77.3,6.2,1914.8,64057.79
23:43:44,77.2,5.4,1914.8,64057.8
23:43:45,77.3,5.6,1914.8,64057.82
23:43:46,77.3,5.7,1914.31,64058.06
23:43:47,77.3,12.3,1914.31,64058.25
23:43:48,77.2,21.9,1914.83,64058.37
23:43:49,77.8,23.3,1914.85,64058.58
23:43:50,77.8,11.4,1914.86,64059.01
23:43:51,77.8,10.2,1914.86,64059.38
23:43:52,77.3,47.5,1914.86,64059.49
23:43:53,77.3,8.3,1914.86,64059.52
23:43:54,47.4,3.5,1914.86,64059.55
23:43:55,47.4,47.1,1914.87,64059.56
23:43:57,77.3,21.7,1914.88,64059.64
23:43:58,77.3,14.5,1914.88,64059.71
23:43:59,77.3,47.4,1914.88,64060.28
23:44:00,77.3,6.8,1914.89,64060.3
23:44:01,77.3,8.9,1914.9,64060.44
23:44:02,77.3,6.8,1914.9,64060.46
23:44:03,77.3,4.9,1914.9,64060.56
23:44:04,77.3,8.8,1914.9,64060.68
23:44:05,77.3,5.6,1914.94,64060.73
23:44:06,47.4,6.2,1914.94,64060.75
23:44:07,47.4,8.4,1914.94,64061.32
23:44:08,77.3,9.9,1914.94,64061.43
